Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.053,1.0E-6,04/23/2024 01:21:47 pm,0.053,1.3E-6,04/23/2024 01:21:57 pm,0.053,1.4E-6,04/23/2024 01:22:05 pm,0.053,9.9E-7
04/23/2024 01:21:35 pm,0.054,9.1E-7,04/23/2024 01:21:47 pm,0.054,1.4E-6,04/23/2024 01:21:57 pm,0.054,1.2E-6,04/23/2024 01:22:05 pm,0.054,8.6E-7
04/23/2024 01:21:35 pm,0.055,1.1E-6,04/23/2024 01:21:47 pm,0.055,1.2E-6,04/23/2024 01:21:57 pm,0.055,1.1E-6,04/23/2024 01:22:05 pm,0.055,1.1E-6
04/23/2024 01:21:35 pm,0.056,1.1E-6,04/23/2024 01:21:47 pm,0.056,1.3E-6,04/23/2024 01:21:57 pm,0.056,1.1E-6,04/23/2024 01:22:05 pm,0.056,9.9E-7
04/23/2024 01:21:35 pm,0.057,9.3E-7,04/23/2024 01:21:47 pm,0.057,1.2E-6,04/23/2024 01:21:57 pm,0.057,1.3E-6,04/23/2024 01:22:05 pm,0.057,1.1E-6
04/23/2024 01:21:35 pm,0.058,1.1E-6,04/23/2024 01:21:47 pm,0.058,1.2E-6,04/23/2024 01:21:57 pm,0.058,1.2E-6,04/23/2024 01:22:05 pm,0.058,9.4E-7
04/23/2024 01:21:35 pm,0.059,1.1E-6,04/23/2024 01:21:47 pm,0.059,1.3E-6,04/23/2024 01:21:57 pm,0.059,1.4E-6,04/23/2024 01:22:05 pm,0.059,1.1E-6
04/23/2024 01:21:35 pm,0.060,9.7E-7,04/23/2024 01:21:47 pm,0.060,1.2E-6,04/23/2024 01:21:57 pm,0.060,1.4E-6,04/23/2024 01:22:05 pm,0.060,1.1E-6
04/23/2024 01:21:35 pm,0.061,1.0E-6,04/23/2024 01:21:47 pm,0.061,1.1E-6,04/23/2024 01:21:57 pm,0.061,1.4E-6,04/23/2024 01:22:05 pm,0.061,1.0E-6
04/23/2024 01:21:35 pm,0.062,1.1E-6,04/23/2024 01:21:47 pm,0.062,1.2E-6,04/23/2024 01:21:57 pm,0.062,1.4E-6,04/23/2024 01:22:05 pm,0.062,9.3E-7
04/23/2024 01:21:35 pm,0.063,1.2E-6,04/23/2024 01:21:47 pm,0.063,1.3E-6,04/23/2024 01:21:57 pm,0.063,1.3E-6,04/23/2024 01:22:05 pm,0.063,8.7E-7
04/23/2024 01:21:35 pm,0.064,1.0E-6,04/23/2024 01:21:47 pm,0.064,1.1E-6,04/23/2024 01:21:57 pm,0.064,1.3E-6,04/23/2024 01:22:05 pm,0.064,8.5E-7
04/23/2024 01:21:35 pm,0.065,9.7E-7,04/23/2024 01:21:47 pm,0.065,1.0E-6,04/23/2024 01:21:57 pm,0.065,1.2E-6,04/23/2024 01:22:05 pm,0.065,9.5E-7
